"","Application.ID","No.of.times.90.DPD.or.worse.in.last.6.months","No.of.times.60.DPD.or.worse.in.last.6.months","No.of.times.30.DPD.or.worse.in.last.6.months","No.of.times.90.DPD.or.worse.in.last.12.months","No.of.times.60.DPD.or.worse.in.last.12.months","No.of.times.30.DPD.or.worse.in.last.12.months","Avgas.CC.Utilization.in.last.12.months","No.of.trades.opened.in.last.6.months","No.of.trades.opened.in.last.12.months","No.of.PL.trades.opened.in.last.6.months","No.of.PL.trades.opened.in.last.12.months","No.of.Inquiries.in.last.6.months..excluding.home...auto.loans.","No.of.Inquiries.in.last.12.months..excluding.home...auto.loans.","Presence.of.open.home.loan","Outstanding.Balance","Total.No.of.Trades","Presence.of.open.auto.loan","Performance.Tag"
"68",559139774,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0
"76",354139458,0,0,0,0,0,1,NA,0,0,0,0,0,2,0,0,0,0,0
"79",456275546,0,0,0,0,0,1,NA,0,0,0,0,0,3,0,0,0,0,0
"150",507928401,0,0,0,0,1,2,NA,0,0,0,0,0,1,0,0,0,0,0
"172",814624395,0,0,0,0,1,1,NA,0,0,0,0,1,2,0,0,0,0,0
"215",125043285,0,0,0,0,1,1,NA,0,0,0,0,1,1,0,0,0,0,0
"235",970523127,0,0,0,0,0,0,NA,0,0,0,0,1,3,0,0,0,0,0
"245",427009271,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"353",982684122,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"483",720535507,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"491",877372074,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"608",421585403,0,0,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,0,0
"611",750283450,0,0,0,0,0,0,NA,0,0,0,0,0,4,0,0,0,0,0
"631",672372685,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"712",339609659,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"785",329463946,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"789",386349910,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"806",153781730,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"817",244146104,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"906",114584206,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"933",795023370,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
"935",442435855,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"981",204788799,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1012",59401020,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1024",590397889,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1075",857621550,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1078",278621104,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1117",170835798,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1164",156079864,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1174",128920060,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1228",907901670,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1279",805216817,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1301",835843100,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1307",953428592,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1328",950455584,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1365",543567705,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1389",100485896,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1487",991570037,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1506",158763513,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"1521",875862863,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1550",835948640,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1553",292154191,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1607",448801169,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1666",443571916,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1675",252146618,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1690",225381422,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1691",713953306,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1727",530412481,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1773",477529189,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1777",443138135,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1919",160786578,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"1924",799169167,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2014",751902922,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2090",695987549,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2108",354598623,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2116",725879641,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2301",64239366,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2351",694627469,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2367",821675910,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
"2559",107502026,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2654",589485331,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2690",40118356,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2763",168174199,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2791",278276209,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
